MET_SIEMBRA,CANT_SEMILLA,ORIG_SEMILLA,CABALLONEO,NIVELADO,ARADO,FERT_ORG,USO_PRON_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,FRACC_FERT,TIPO_RIEGO,HERB,INSECT,INCORP_RES,USO_BIOFERT,REDUC_REND,REND,DENS_AP,CIC,pH,N_SUELO,C_ORG_SUELO,TEXT,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,REL_HUM_PROM,SOL_RAD_ACUM
Voleo_manual,,Semillista,0,0,0,No,No,252.5,98.25,98.25,3,Inundación,2,2,Si,No,Otro,3.38,1.35,13.9,5.5,2.15,25.9,FAr,537.2856669,23.45207873,31.61720755,56.92345323,2187.438655
Trasplante_manual,250,Semillista,0,0,0,No,No,81,81,81,3,Inundación,3,0,Si,No,Alta temperatura,7.5,1.38,19.5,5.5,2.1,25.8,FAr,300.8027747,24.26773452,33.56959928,45.39985422,2267.95115
Voleo_manual,250,Semillista,0,0,0,No,No,193,72,73.2,4,Inundación,2,1,Si,No,Otro,6.25,1.36,18.3,5.5,1.72,23.6,FAr,443.849926,23.63836382,32.09360148,54.71813162,2303.131881
Trasplante_manual,200,Fedearroz,0,0,0,No,No,151,50,87,4,Inundación,0,3,Si,No,Otro,5.63,1.38,19.5,5.5,2.1,25.8,FAr,434.7711103,23.02851393,30.63002537,61.91228817,1808.497249
Trasplante_manual,201.9230769,Semillista,0,0,0,No,No,212,99,99,3,Inundación,1,1,Si,No,Plagas y enfermedades,8.13,1.38,19.5,5.5,2.1,25.8,FAr,394.3094978,22.59918678,30.0803887,67.12518336,2233.202292
Trasplante_manual,,Semillista,0,0,0,No,No,160.5,81,81,5,Inundación,2,1,Si,No,Alta temperatura,5.63,1.38,19.5,5.5,2.1,25.8,FAr,424.3139389,22.61452686,30.03936108,66.86790169,2238.969006
Trasplante_manual,200,Semillista,0,0,0,Si,No,74.5,63,63,4,Inundación,2,0,Si,No,Otro,3.94,1.35,19.1,5.4,1.65,25.4,FAr,362.7534137,23.9098457,32.79230725,50.43415787,2414.719508
Trasplante_manual,100,Propio_lote,0,1,0,No,No,140,27,27,7,Inundación,2,1,Si,No,Otro,6.33,1.37,15.7,5.5,2.09,21.4,FAr,530.3679767,22.9180906,29.78568294,67.62621878,1940.431257
Trasplante_manual,200,Semillista,0,1,0,No,No,259,45,75,4,Inundación,2,0,No,No,Otro,5.51,1.34,12.8,5.2,2.22,20.7,FAr,403.7026274,22.56583442,30.04082949,67.49886716,2181.289775
Voleo_manual,248,Semillista,0,0,0,No,No,272,72,89,4,Inundación,2,0,Si,No,Otro,6.56,1.39,14,5.3,1.93,24.3,FAr,403.4302833,22.50960439,28.9025589,73.60646499,2197.082806
