EVENT_AFECT,VARIEDAD,MET_SIEMB,CANT_SEM,CABALLONEO,NIVELACION,ARADO,TIPO_RIEGO,FRAC_FERT,N_TOTAL,P2O5_TOTAL,K2O_TOTAL,CONTEO_HERB,CONTEO_INS_FUN,DENS_AP,CIC,pH,TEXTURA,PREC_ACUM,TEMP_MIN_PROM,TEMP_MAX_PROM,HUM_REL_PROM,RAD_SOL_ACUM,MANEJO_RESID,REND
Ninguno,Otro,Voleo_manual,160.0,No,No,Si,Inundacion,1,31.0,9.0,9.0,1,0,1.35,16.0,5.3,FAr,310.27700079232454,23.493836896444066,32.13067645829972,52.081877600286425,1785868784.0,Incorporados,6.979166666666667
Ninguno,Otro,Trasplante_manual,,No,Si,Si,Inundacion,1,55.0,22.5,22.5,1,0,1.35,14.8,5.3,FAr,375.5442354679108,23.82229901482073,33.391197533700925,45.49155811235016,1996522440.0,Incorporados,7.71875
Ninguno,Otro,Trasplante_manual,,No,Si,Si,Inundacion,1,18.72,8.64,8.64,1,1,1.37,14.0,5.3,FAr,503.0397067666054,23.57724200833223,32.434242543866496,50.30288862412976,2322830035.0,Incorporados,7.5
Ninguno,Fedearroz_67,Siembra_en_surco,180.0,Si,Si,Si,Inundacion,2,20.0,20.0,20.0,1,0,1.41,13.9,5.2,FAr,468.5980225428939,22.850040397369558,30.89842217534562,58.560486690603575,2567130012.0,Incorporados,7.583333333333333
Ninguno,Fedearroz_67,Voleo_mecanizado,180.0,No,Si,Si,Corrido,1,56.1,11.88,11.88,1,1,1.41,12.8,5.2,FAr,424.23694890737534,22.676042113265325,30.492396260083147,61.00192549170517,2276698690.0,Quemados,8.125
Ninguno,Fedearroz_67,Voleo_mecanizado,180.0,No,Si,Si,Corrido,1,73.125,33.75,33.75,1,0,1.4,15.8,5.5,FAr,578.9034853801131,22.768972480587784,30.899163446193803,58.77305503007842,3056190683.0,Otro,8.75
Ninguno,Fedearroz_67,Voleo_mecanizado,180.0,No,No,No,Corrido,1,175.5,81.0,81.0,1,0,1.42,14.9,5.3,FAr,496.4395075663924,22.999559681809743,31.17056937630715,56.56820657685047,2341095269.0,Incorporados,10.0
Ninguno,Fedearroz_67,Voleo_mecanizado,180.0,No,No,Si,Corrido,1,10.323529411764708,4.764705882352941,4.764705882352941,1,0,1.41,13.5,5.3,FAr,486.59480484575033,22.936911575882476,31.026004593460595,57.55695862946687,2488916680.0,Quemados,9.0625
Ninguno,Otro,Voleo_mecanizado,180.0,No,Si,Si,Corrido,1,18.0,18.0,18.0,2,0,1.4,16.9,5.3,FAr,461.4742909297347,22.930127477645826,31.017702436447085,57.64664679765701,2358003884.0,Quemados,9.0625
Ninguno,Otro,Otro,180.0,No,Si,No,Corrido,1,56.1,11.88,11.88,2,0,1.39,15.1,5.5,FAr,524.1965011842549,22.47670755386348,30.50969395637506,63.86704763770104,2383583785.0,Quemados,7.5
Ninguno,Fedearroz_67,Voleo_mecanizado,250.0,Si,No,No,Corrido,1,48.0,13.5,13.5,1,0,1.36,13.1,5.5,FAr,589.8365089818835,22.860443958809658,30.121760025644637,65.3249512028888,2225504469.0,Incorporados,7.8125
Ninguno,Otro,Otro,,Si,Si,No,Corrido,2,220.0,54.0,54.0,1,0,1.38,11.1,5.4,FAr,657.7278436503839,22.779186968736195,30.73545957753353,61.25452917394504,2608671771.0,Incorporados,6.25
Ninguno,Otro,Voleo_mecanizado,250.0,Si,Si,No,Otro,2,58.0,18.0,18.0,2,1,1.39,11.2,5.4,FAr,620.3913776874542,22.92357691967576,31.248817888394992,58.39976654653474,2386385868.0,Retirados,8.625
Ninguno,Fedearroz_67,Voleo_mecanizado,180.0,No,Si,Si,Corrido,1,71.28,43.56,43.56,1,0,1.39,11.2,5.4,FAr,648.9943270683289,22.836155264718137,31.10639561244416,59.60978412628174,2624502560.0,Retirados,6.5625
Ninguno,Fedearroz_67,Voleo_mecanizado,180.0,Si,Si,Si,Otro,1,52.14,11.88,11.88,1,1,1.38,15.5,5.5,FAr,517.0396365597844,23.083801173412844,30.667269392839508,61.835810743917634,2301903834.0,Otro,7.5
Ninguno,Fedearroz_67,Voleo_mecanizado,200.0,Si,Si,No,Corrido,1,130.35,29.7,29.7,1,0,1.37,11.7,5.4,FAr,612.5717900916934,23.28337989920995,31.256465444991782,58.2333604328668,2463665001.0,Otro,7.1875
Ninguno,Fedearroz_67,Voleo_mecanizado,180.0,Si,No,No,Corrido,1,50.142857142857146,23.142857142857142,23.142857142857142,1,0,1.32,21.4,5.5,FAr,442.18721055984497,23.076044218418915,31.143599791445915,57.93407805491302,2178124430.0,Otro,7.142857142857143
Sequía,Otro,Voleo_mecanizado,200.0,No,Si,No,Otro,1,130.5,40.5,40.5,1,0,1.37,27.7,5.5,FAr,353.27419402077794,23.453275183475327,31.6427812518495,53.11309213349313,2508449954.0,Otro,7.5
Ninguno,Fedearroz_2000,Siembra_en_surco,200.0,Si,Si,No,Corrido,3,143.25,45.0,79.0,1,0,1.25,13.7,5.3,FAr,593.1676884889603,20.92101440429683,27.75171489565386,61.75551037525568,2428721513.0,Otro,6.25
Ninguno,Fedearroz_68,Siembra_en_surco,200.0,Si,Si,Si,Corrido,1,46.0,0.0,60.0,1,0,1.21,14.6,5.4,Ar,519.9004915952682,19.92009650665576,26.90246267966849,64.47087830478705,1955199866.0,Retirados,7.375
Ninguno,Otro,Siembra_en_surco,200.0,Si,No,No,Corrido,1,80.5,0.0,105.0,1,0,1.34,15.1,5.4,FAr,442.92703435756266,22.13308973855115,30.08371080848254,61.99089375937857,2342280562.0,Otro,7.375
Ninguno,Otro,Siembra_en_surco,200.0,No,No,Si,Corrido,1,51.97500000000001,36.3,33.00000000000001,1,0,1.27,12.8,5.3,FAr,431.9045103248209,23.10621312459305,32.42782974243158,52.21028372446696,2425201699.0,Quemados,6.9375
Ninguno,Otro,Voleo_mecanizado,140.0,Si,Si,No,Corrido,1,64.0,18.0,18.0,1,0,1.27,19.4,5.4,FAr,431.9045103248209,23.10621312459305,32.42782974243158,52.21028372446696,2425201699.0,Retirados,6.625
Ninguno,Fedearroz_67,Siembra_en_surco,160.0,No,Si,No,Corrido,2,150.58,3.0,5.0,1,0,1.33,14.0,5.4,FAr,334.6355640999973,23.103977038196643,31.58469842340524,56.58256916164123,1873970868.0,Incorporados,7.9375
Otro,Fedearroz_2000,Voleo_mecanizado,150.0,No,Si,No,Corrido,1,64.0,18.0,18.0,1,0,1.34,17.2,5.4,FAr,545.3224868290126,23.100717062034292,32.19028352649007,53.52493225501863,3002993004.0,Quemados,3.25
Ninguno,Otro,Voleo_mecanizado,180.0,No,Si,No,Corrido,1,39.0,18.0,18.0,1,0,1.26,20.9,5.5,FAr,349.2570312023163,21.868482511005656,29.787720646933845,64.35842786516461,2385987567.0,Quemados,6.375
Otro,Fedearroz_2000,Voleo_mecanizado,200.0,No,No,No,Corrido,1,103.5,0.0,135.0,1,0,1.29,18.3,5.4,Ar,368.8162076100707,23.1103219015556,31.72840056837645,55.841745778134,2214147052.0,Quemados,5.0
Ninguno,Fedearroz_67,Voleo_mecanizado,160.0,No,Si,No,Corrido,1,53.125,28.75,37.5,1,1,1.27,13.7,5.3,FAr,448.6714465077967,23.00091247558589,32.27275060017897,53.28131618499756,2398059949.0,Retirados,6.25
Ninguno,Fedearroz_68,Otro,180.0,Si,No,Si,Corrido,1,203.94,0.0,0.0,1,1,1.32,15.2,5.4,FAr,370.5541982650757,22.99169685208064,32.31559859295275,53.21992987029407,1961216127.0,Retirados,7.4375
Ninguno,Otro,Voleo_mecanizado,200.0,No,Si,Si,Inundacion,1,25.6,7.2,7.2,1,0,1.34,17.8,5.4,FAr,436.2914352938533,23.98870523142255,32.71504086043478,51.05402939079344,2401858691.0,Retirados,6.0
Ninguno,Fedearroz_2000,Voleo_mecanizado,200.0,No,Si,Si,Inundacion,1,92.0,0.0,0.0,1,0,1.01,24.6,5.3,FAr,566.0945205688477,10.475165882677157,16.082052642520093,82.22601053974417,1623845840.0,Quemados,5.5
Ninguno,Otro,Voleo_manual,150.0,No,No,Si,Inundacion,1,33.75,33.75,33.75,2,0,1.34,17.1,5.3,FAr,555.1556678596826,23.11550233902464,30.455866069178423,61.03173156246062,2774441278.0,Incorporados,6.28125
Ninguno,Otro,Voleo_manual,180.0,No,Si,Si,Inundacion,1,114.4,19.8,19.8,1,0,1.01,26.4,5.3,FAr,583.5581904947758,14.692343648274717,20.50294011433915,79.54188505808513,2076819588.0,Quemados,7.083333333333333
Ninguno,Fedearroz_67,Voleo_mecanizado,180.0,No,No,Si,Inundacion,1,23.0,0.0,0.0,1,0,1.37,14.2,5.3,FAr,464.0130467414856,23.733053138607787,33.086723602795146,47.00922453208048,2365144552.0,Incorporados,7.5
Ninguno,Fedearroz_68,Trasplante_manual,190.0,Si,No,Si,Inundacion,1,92.0,0.0,0.0,1,0,1.4,14.3,5.5,FAr,517.1396294571459,22.91596996166084,29.97598786530666,66.80894929391367,1922044679.0,Retirados,9.166666666666666
Ninguno,Otro,Voleo_manual,190.0,Si,Si,Si,Inundacion,1,11.428571428571429,3.2142857142857144,3.2142857142857144,1,0,1.37,12.4,5.2,FAr,415.7163898944855,22.64817903958829,30.52518310546869,64.30726635272686,2495466504.0,Quemados,0.5714285714285714
